"Accession","X.10lgP","X.Unique","X.Spec.Sample.1","X.Spec.Sample.2","X.Spec.Sample.3","X.Spec.Sample.4","X.Spec.Sample.5","PTM","Description","ProteinID","Accession.Number","Accession.New","MouseGeneName"
"P10126|EF1A1_MOUSE",433.28,49,78,87,108,107,140,"Carbamidomethylation; Oxidation (M); Deamidation (NQ)","Elongation factor 1-alpha 1 OS=Mus musculus GN=Eef1a1 PE=1 SV=3","P10126","EF1A1_MOUSE","EF1A1_MOUSE","Eef1a1"
"P14211|CALR_MOUSE",432.16,48,45,43,50,45,51,"Carbamidomethylation; Oxidation (M); Deamidation (NQ)","Calreticulin OS=Mus musculus GN=Calr PE=1 SV=1","P14211","CALR_MOUSE","CALR_MOUSE","Calr"
"P09103|PDIA1_MOUSE",432.05,58,58,71,45,54,65,"Carbamidomethylation; Oxidation (M); Deamidation (NQ)","Protein disulfide-isomerase OS=Mus musculus GN=P4hb PE=1 SV=2","P09103","PDIA1_MOUSE","PDIA1_MOUSE","P4hb"
"Q9QXS1|PLEC_MOUSE",431.7,67,48,26,40,31,39,"Carbamidomethylation; Deamidation (NQ)","Plectin OS=Mus musculus GN=Plec PE=1 SV=3","Q9QXS1","PLEC_MOUSE","PLEC_MOUSE","Plec"
"P20029|GRP78_MOUSE",428.4,55,63,89,61,58,76,"Carbamidomethylation; Oxidation (M); Deamidation (NQ)","78 kDa glucose-regulated protein OS=Mus musculus GN=Hspa5 PE=1 SV=3","P20029","GRP78_MOUSE","BIP_MOUSE","Hspa5"
"Q7TPR4|ACTN1_MOUSE",424.39,37,54,43,44,38,44,"Carbamidomethylation; Deamidation (NQ)","Alpha-actinin-1 OS=Mus musculus GN=Actn1 PE=1 SV=1","Q7TPR4","ACTN1_MOUSE","ACTN1_MOUSE","Actn1"
"P20152|VIME_MOUSE",423.23,53,56,119,58,73,83,"Carbamidomethylation; Deamidation (NQ)","Vimentin OS=Mus musculus GN=Vim PE=1 SV=3","P20152","VIME_MOUSE","VIME_MOUSE","Vim"
"P31001|DESM_MOUSE",417.51,47,43,60,64,50,78,"Carbamidomethylation; Deamidation (NQ)","Desmin OS=Mus musculus GN=Des PE=1 SV=3","P31001","DESM_MOUSE","DESM_MOUSE","Des"
"P52480|KPYM_MOUSE",416.41,50,47,48,43,42,41,"Carbamidomethylation; Deamidation (NQ)","Pyruvate kinase PKM OS=Mus musculus GN=Pkm PE=1 SV=4","P52480","KPYM_MOUSE","KPYM_MOUSE","Pkm"
"P63017|HSP7C_MOUSE",415.74,42,82,80,60,69,77,"Carbamidomethylation; Deamidation (NQ)","Heat shock cognate 71 kDa protein OS=Mus musculus GN=Hspa8 PE=1 SV=1","P63017","HSP7C_MOUSE","HSP7C_MOUSE","Hspa8"
"P58252|EF2_MOUSE",413.1,59,58,59,48,54,72,"Carbamidomethylation; Deamidation (NQ)","Elongation factor 2 OS=Mus musculus GN=Eef2 PE=1 SV=2","P58252","EF2_MOUSE","EF2_MOUSE","Eef2"
"P21981|TGM2_MOUSE",413.08,49,28,40,37,37,47,"Carbamidomethylation; Deamidation (NQ)","Protein-glutamine gamma-glutamyltransferase 2 OS=Mus musculus GN=Tgm2 PE=1 SV=4","P21981","TGM2_MOUSE","TGM2_MOUSE","Tgm2"
"P05784|K1C18_MOUSE",412.74,33,34,71,54,36,36,"Oxidation (M); Deamidation (NQ)","Keratin  type I cytoskeletal 18 OS=Mus musculus GN=Krt18 PE=1 SV=5","P05784","K1C18_MOUSE","K1C18_MOUSE","Krt18"
"P16546|SPTN1_MOUSE",411.24,41,24,20,11,24,23,"","Spectrin alpha chain  non-erythrocytic 1 OS=Mus musculus GN=Sptan1 PE=1 SV=4","P16546","SPTN1_MOUSE","SPTN1_MOUSE","Sptan1"
"Q9CWF2|TBB2B_MOUSE",410.76,4,58,53,56,40,35,"Carbamidomethylation; Deamidation (NQ)","Tubulin beta-2B chain OS=Mus musculus GN=Tubb2b PE=1 SV=1","Q9CWF2","TBB2B_MOUSE","TBB2B_MOUSE","Tubb2b"
"P11499|HS90B_MOUSE",410.51,36,54,35,44,53,50,"Carbamidomethylation; Oxidation (M); Deamidation (NQ)","Heat shock protein HSP 90-beta OS=Mus musculus GN=Hsp90ab1 PE=1 SV=3","P11499","HS90B_MOUSE","HS90B_MOUSE","Hsp90ab1"
"P08113|ENPL_MOUSE",410.47,48,50,48,48,51,43,"Carbamidomethylation; Deamidation (NQ)","Endoplasmin OS=Mus musculus GN=Hsp90b1 PE=1 SV=2","P08113","ENPL_MOUSE","ENPL_MOUSE","Hsp90b1"
"P16858|G3P_MOUSE",410.2,48,72,73,75,55,93,"Carbamidomethylation; Oxidation (M); Deamidation (NQ)","Glyceraldehyde-3-phosphate dehydrogenase OS=Mus musculus GN=Gapdh PE=1 SV=2","P16858","G3P_MOUSE","G3P_MOUSE","Gapdh"
"P57780|ACTN4_MOUSE",408.45,29,36,40,36,38,35,"Carbamidomethylation; Oxidation (M); Deamidation (NQ)","Alpha-actinin-4 OS=Mus musculus GN=Actn4 PE=1 SV=1","P57780","ACTN4_MOUSE","ACTN4_MOUSE","Actn4"
"P19324|SERPH_MOUSE",404.03,46,42,37,33,40,37,"","Serpin H1 OS=Mus musculus GN=Serpinh1 PE=1 SV=3","P19324","SERPH_MOUSE","SERPH_MOUSE","Serpinh1"
"P63268|ACTH_MOUSE",402.69,2,45,46,47,55,57,"Carbamidomethylation; Oxidation (M); Deamidation (NQ)","Actin  gamma-enteric smooth muscle OS=Mus musculus GN=Actg2 PE=1 SV=1","P63268","ACTH_MOUSE","ACTH_MOUSE","Actg2"
"P07901|HS90A_MOUSE",400.02,34,45,35,40,36,41,"Carbamidomethylation; Oxidation (M); Deamidation (NQ)","Heat shock protein HSP 90-alpha OS=Mus musculus GN=Hsp90aa1 PE=1 SV=4","P07901","HS90A_MOUSE","HS90A_MOUSE","Hsp90aa1"
"P56480|ATPB_MOUSE",399.64,42,42,40,35,36,50,"Deamidation (NQ)","ATP synthase subunit beta  mitochondrial OS=Mus musculus GN=Atp5b PE=1 SV=2","P56480","ATPB_MOUSE","ATPB_MOUSE","Atp5b"
"Q01853|TERA_MOUSE",398.24,45,34,32,29,34,39,"Carbamidomethylation; Deamidation (NQ)","Transitional endoplasmic reticulum ATPase OS=Mus musculus GN=Vcp PE=1 SV=4","Q01853","TERA_MOUSE","TERA_MOUSE","Vcp"
"Q61554|FBN1_MOUSE",393.02,35,38,25,24,7,12,"Carbamidomethylation; Oxidation (M); Deamidation (NQ)","Fibrillin-1 OS=Mus musculus GN=Fbn1 PE=1 SV=2","Q61554","FBN1_MOUSE","FBN1_MOUSE","Fbn1"
"P63038|CH60_MOUSE",392.22,35,33,41,35,36,42,"Carbamidomethylation; Deamidation (NQ)","60 kDa heat shock protein  mitochondrial OS=Mus musculus GN=Hspd1 PE=1 SV=1","P63038","CH60_MOUSE","CH60_MOUSE","Hspd1"
"P11679|K2C8_MOUSE",391.37,48,32,73,37,29,39,"Deamidation (NQ)","Keratin  type II cytoskeletal 8 OS=Mus musculus GN=Krt8 PE=1 SV=4","P11679","K2C8_MOUSE","K2C8_MOUSE","Krt8"
"O08553|DPYL2_MOUSE",389.62,28,21,20,26,19,30,"Carbamidomethylation; Deamidation (NQ)","Dihydropyrimidinase-related protein 2 OS=Mus musculus GN=Dpysl2 PE=1 SV=2","O08553","DPYL2_MOUSE","DPYL2_MOUSE","Dpysl2"
"P13020|GELS_MOUSE",383.47,32,23,10,15,18,21,"Carbamidomethylation; Deamidation (NQ)","Gelsolin OS=Mus musculus GN=Gsn PE=1 SV=3","P13020","GELS_MOUSE","GELS_MOUSE","Gsn"
"Q03265|ATPA_MOUSE",379.11,41,28,29,28,27,28,"Carbamidomethylation; Deamidation (NQ)","ATP synthase subunit alpha  mitochondrial OS=Mus musculus GN=Atp5a1 PE=1 SV=1","Q03265","ATPA_MOUSE","ATPA_MOUSE","Atp5a1"
"P27773|PDIA3_MOUSE",379.04,45,39,38,29,39,43,"Carbamidomethylation; Deamidation (NQ)","Protein disulfide-isomerase A3 OS=Mus musculus GN=Pdia3 PE=1 SV=2","P27773","PDIA3_MOUSE","PDIA3_MOUSE","Pdia3"
"P17182|ENOA_MOUSE",373.03,36,29,47,38,44,52,"Carbamidomethylation; Deamidation (NQ)","Alpha-enolase OS=Mus musculus GN=Eno1 PE=1 SV=3","P17182","ENOA_MOUSE","ENOA_MOUSE","Eno1"
"Q8VHX6|FLNC_MOUSE",372.92,34,21,29,20,22,30,"Carbamidomethylation; Deamidation (NQ)","Filamin-C OS=Mus musculus GN=Flnc PE=1 SV=3","Q8VHX6","FLNC_MOUSE","FLNC_MOUSE","Flnc"
"Q61292|LAMB2_MOUSE",372.91,35,14,23,7,29,14,"Carbamidomethylation; Deamidation (NQ)","Laminin subunit beta-2 OS=Mus musculus GN=Lamb2 PE=1 SV=2","Q61292","LAMB2_MOUSE","LAMB2_MOUSE","Lamb2"
"O88342|WDR1_MOUSE",371.46,23,20,12,19,15,22,"Carbamidomethylation","WD repeat-containing protein 1 OS=Mus musculus GN=Wdr1 PE=1 SV=3","O88342","WDR1_MOUSE","WDR1_MOUSE","Wdr1"
"P07356|ANXA2_MOUSE",370.29,40,37,37,37,30,40,"Carbamidomethylation; Deamidation (NQ)","Annexin A2 OS=Mus musculus GN=Anxa2 PE=1 SV=2","P07356","ANXA2_MOUSE","ANXA2_MOUSE","Anxa2"
"Q61879|MYH10_MOUSE",370.1,24,27,24,19,24,24,"Carbamidomethylation; Deamidation (NQ)","Myosin-10 OS=Mus musculus GN=Myh10 PE=1 SV=2","Q61879","MYH10_MOUSE","MYH10_MOUSE","Myh10"
"Q61316|HSP74_MOUSE",368,25,22,15,15,11,12,"Carbamidomethylation; Deamidation (NQ)","Heat shock 70 kDa protein 4 OS=Mus musculus GN=Hspa4 PE=1 SV=1","Q61316","HSP74_MOUSE","HSP74_MOUSE","Hspa4"
"P48036|ANXA5_MOUSE",366.11,33,25,28,20,18,19,"Carbamidomethylation; Deamidation (NQ)","Annexin A5 OS=Mus musculus GN=Anxa5 PE=1 SV=1","P48036","ANXA5_MOUSE","ANXA5_MOUSE","Anxa5"
"P01942|HBA_MOUSE",364.89,39,17,26,10,53,55,"Carbamidomethylation","Hemoglobin subunit alpha OS=Mus musculus GN=Hba PE=1 SV=2","P01942","HBA_MOUSE","HBA_MOUSE","Hba"
"P35564|CALX_MOUSE",364.1,35,22,22,23,22,33,"Carbamidomethylation; Deamidation (NQ)","Calnexin OS=Mus musculus GN=Canx PE=1 SV=1","P35564","CALX_MOUSE","CALX_MOUSE","Canx"
"Q922R8|PDIA6_MOUSE",363.5,20,21,27,16,17,24,"Carbamidomethylation; Deamidation (NQ)","Protein disulfide-isomerase A6 OS=Mus musculus GN=Pdia6 PE=1 SV=3","Q922R8","PDIA6_MOUSE","PDIA6_MOUSE","Pdia6"
"Q62261|SPTB2_MOUSE",362.79,36,23,19,15,17,18,"Carbamidomethylation; Deamidation (NQ)","Spectrin beta chain  non-erythrocytic 1 OS=Mus musculus GN=Sptbn1 PE=1 SV=2","Q62261","SPTB2_MOUSE","SPTB2_MOUSE","Sptbn1"
"Q8VEK3|HNRPU_MOUSE",362.74,22,21,14,12,9,10,"Carbamidomethylation; Deamidation (NQ)","Heterogeneous nuclear ribonucleoprotein U OS=Mus musculus GN=Hnrnpu PE=1 SV=1","Q8VEK3","HNRPU_MOUSE","HNRPU_MOUSE","Hnrnpu"
"Q64727|VINC_MOUSE",359.83,37,32,33,26,35,30,"Carbamidomethylation; Deamidation (NQ)","Vinculin OS=Mus musculus GN=Vcl PE=1 SV=4","Q64727","VINC_MOUSE","VINC_MOUSE","Vcl"
"Q922F4|TBB6_MOUSE",356.59,5,39,34,43,28,22,"Carbamidomethylation; Deamidation (NQ)","Tubulin beta-6 chain OS=Mus musculus GN=Tubb6 PE=1 SV=1","Q922F4","TBB6_MOUSE","TBB6_MOUSE","Tubb6"
"Q05793|PGBM_MOUSE",355.71,23,15,9,8,11,5,"Carbamidomethylation; Deamidation (NQ)","Basement membrane-specific heparan sulfate proteoglycan core protein OS=Mus musculus GN=Hspg2 PE=1 SV=1","Q05793","PGBM_MOUSE","PGBM_MOUSE","Hspg2"
"Q9DBG6|RPN2_MOUSE",355.6,25,21,21,21,22,20,"Deamidation (NQ)","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 OS=Mus musculus GN=Rpn2 PE=1 SV=1","Q9DBG6","RPN2_MOUSE","RPN2_MOUSE","Rpn2"
"Q7TPV4|MBB1A_MOUSE",354.61,26,24,12,13,15,16,"Carbamidomethylation; Deamidation (NQ)","Myb-binding protein 1A OS=Mus musculus GN=Mybbp1a PE=1 SV=2","Q7TPV4","MBB1A_MOUSE","MBB1A_MOUSE","Mybbp1a"
"Q91VI7|RINI_MOUSE",353.81,23,16,13,15,13,15,"Carbamidomethylation; Deamidation (NQ)","Ribonuclease inhibitor OS=Mus musculus GN=Rnh1 PE=1 SV=1","Q91VI7","RINI_MOUSE","RINI_MOUSE","Rnh1"
"Q9QZE5|COPG1_MOUSE",352.67,27,22,18,18,19,21,"Carbamidomethylation; Deamidation (NQ)","Coatomer subunit gamma-1 OS=Mus musculus GN=Copg1 PE=1 SV=1","Q9QZE5","COPG1_MOUSE","COPG1_MOUSE","Copg1"
"Q8BFZ3|ACTBL_MOUSE",351.09,4,42,46,35,39,46,"Carbamidomethylation; Oxidation (M); Deamidation (NQ)","Beta-actin-like protein 2 OS=Mus musculus GN=Actbl2 PE=1 SV=1","Q8BFZ3","ACTBL_MOUSE","ACTBL_MOUSE","Actbl2"
"P17225|PTBP1_MOUSE",351.04,18,18,11,13,10,17,"Carbamidomethylation; Deamidation (NQ)","Polypyrimidine tract-binding protein 1 OS=Mus musculus GN=Ptbp1 PE=1 SV=2","P17225","PTBP1_MOUSE","PTBP1_MOUSE","Ptbp1"
"Q01149|CO1A2_MOUSE",349.97,21,10,19,3,11,11,"Carbamidomethylation; Deamidation (NQ)","Collagen alpha-2(I) chain OS=Mus musculus GN=Col1a2 PE=1 SV=2","Q01149","CO1A2_MOUSE","CO1A2_MOUSE","Col1a2"
"Q8BMK4|CKAP4_MOUSE",349.35,38,37,28,25,36,29,"Deamidation (NQ)","Cytoskeleton-associated protein 4 OS=Mus musculus GN=Ckap4 PE=1 SV=2","Q8BMK4","CKAP4_MOUSE","CKAP4_MOUSE","Ckap4"
"Q02053|UBA1_MOUSE",348.42,30,33,20,24,28,23,"Carbamidomethylation; Deamidation (NQ)","Ubiquitin-like modifier-activating enzyme 1 OS=Mus musculus GN=Uba1 PE=1 SV=1","Q02053","UBA1_MOUSE","UBA1_MOUSE","Uba1"
"P26041|MOES_MOUSE",348.15,20,20,18,19,23,21,"Carbamidomethylation; Deamidation (NQ)","Moesin OS=Mus musculus GN=Msn PE=1 SV=3","P26041","MOES_MOUSE","MOES_MOUSE","Msn"
"P68040|RACK1_MOUSE",348,21,20,16,20,12,11,"Carbamidomethylation; Oxidation (M); Deamidation (NQ)","Receptor of activated protein C kinase 1 OS=Mus musculus GN=Rack1 PE=1 SV=3","P68040","RACK1_MOUSE","RACK1_MOUSE","Rack1"
"P02088|HBB1_MOUSE",347.46,32,10,29,9,49,50,"Carbamidomethylation; Oxidation (M); Deamidation (NQ)","Hemoglobin subunit beta-1 OS=Mus musculus GN=Hbb-b1 PE=1 SV=2","P02088","HBB1_MOUSE","HBB1_MOUSE","Hbb-b1"
"Q60932|VDAC1_MOUSE",346.98,19,16,17,15,21,18,"Carbamidomethylation; Deamidation (NQ)","Voltage-dependent anion-selective channel protein 1 OS=Mus musculus GN=Vdac1 PE=1 SV=3","Q60932","VDAC1_MOUSE","VDAC1_MOUSE","Vdac1"
"P19001|K1C19_MOUSE",345.15,23,19,32,33,25,26,"Deamidation (NQ)","Keratin  type I cytoskeletal 19 OS=Mus musculus GN=Krt19 PE=1 SV=1","P19001","K1C19_MOUSE","K1C19_MOUSE","Krt19"
"P26231|CTNA1_MOUSE",344.65,21,10,10,11,13,11,"Carbamidomethylation; Deamidation (NQ)","Catenin alpha-1 OS=Mus musculus GN=Ctnna1 PE=1 SV=1","P26231","CTNA1_MOUSE","CTNA1_MOUSE","Ctnna1"
"Q61598|GDIB_MOUSE",343.93,25,28,22,19,23,18,"Carbamidomethylation; Deamidation (NQ)","Rab GDP dissociation inhibitor beta OS=Mus musculus GN=Gdi2 PE=1 SV=1","Q61598","GDIB_MOUSE","GDIB_MOUSE","Gdi2"
"Q61001|LAMA5_MOUSE",343.6,23,11,13,7,19,9,"Deamidation (NQ)","Laminin subunit alpha-5 OS=Mus musculus GN=Lama5 PE=1 SV=4","Q61001","LAMA5_MOUSE","LAMA5_MOUSE","Lama5"
"P14824|ANXA6_MOUSE",343.5,28,22,19,17,20,21,"Carbamidomethylation; Deamidation (NQ)","Annexin A6 OS=Mus musculus GN=Anxa6 PE=1 SV=3","P14824","ANXA6_MOUSE","ANXA6_MOUSE","Anxa6"
"P10107|ANXA1_MOUSE",341.74,23,26,24,17,19,24,"Carbamidomethylation; Deamidation (NQ)","Annexin A1 OS=Mus musculus GN=Anxa1 PE=1 SV=2","P10107","ANXA1_MOUSE","ANXA1_MOUSE","Anxa1"
"P60843|IF4A1_MOUSE",340.81,17,48,20,36,26,23,"Carbamidomethylation; Oxidation (M); Deamidation (NQ)","Eukaryotic initiation factor 4A-I OS=Mus musculus GN=Eif4a1 PE=1 SV=1","P60843","IF4A1_MOUSE","IF4A1_MOUSE","Eif4a1"
"Q9D964|GATM_MOUSE",340.55,28,20,11,24,20,26,"Carbamidomethylation; Oxidation (M)","Glycine amidinotransferase  mitochondrial OS=Mus musculus GN=Gatm PE=1 SV=1","Q9D964","GATM_MOUSE","GATM_MOUSE","Gatm"
"Q9ERD7|TBB3_MOUSE",340.45,2,22,22,19,28,23,"Carbamidomethylation; Deamidation (NQ)","Tubulin beta-3 chain OS=Mus musculus GN=Tubb3 PE=1 SV=1","Q9ERD7","TBB3_MOUSE","TBB3_MOUSE","Tubb3"
"Q04447|KCRB_MOUSE",339.95,22,13,15,9,8,19,"Carbamidomethylation","Creatine kinase B-type OS=Mus musculus GN=Ckb PE=1 SV=1","Q04447","KCRB_MOUSE","KCRB_MOUSE","Ckb"
"P05064|ALDOA_MOUSE",339.64,21,22,20,21,23,29,"Carbamidomethylation; Deamidation (NQ)","Fructose-bisphosphate aldolase A OS=Mus musculus GN=Aldoa PE=1 SV=2","P05064","ALDOA_MOUSE","ALDOA_MOUSE","Aldoa"
"P35700|PRDX1_MOUSE",338.23,22,20,19,14,17,26,"Carbamidomethylation; Deamidation (NQ)","Peroxiredoxin-1 OS=Mus musculus GN=Prdx1 PE=1 SV=1","P35700","PRDX1_MOUSE","PRDX1_MOUSE","Prdx1"
"Q8R081|HNRPL_MOUSE",336.9,22,12,21,7,9,19,"Carbamidomethylation; Deamidation (NQ)","Heterogeneous nuclear ribonucleoprotein L OS=Mus musculus GN=Hnrnpl PE=1 SV=2","Q8R081","HNRPL_MOUSE","HNRPL_MOUSE","Hnrnpl"
"Q78PY7|SND1_MOUSE",335.78,24,18,12,12,13,17,"Carbamidomethylation; Deamidation (NQ)","Staphylococcal nuclease domain-containing protein 1 OS=Mus musculus GN=Snd1 PE=1 SV=1","Q78PY7","SND1_MOUSE","SND1_MOUSE","Snd1"
"P09055|ITB1_MOUSE",335.38,20,19,14,17,14,17,"Carbamidomethylation; Deamidation (NQ)","Integrin beta-1 OS=Mus musculus GN=Itgb1 PE=1 SV=1","P09055","ITB1_MOUSE","ITB1_MOUSE","Itgb1"
"P48678|LMNA_MOUSE",334.82,22,22,17,17,21,19,"Deamidation (NQ)","Prelamin-A/C OS=Mus musculus GN=Lmna PE=1 SV=2","P48678","LMNA_MOUSE","LMNA_MOUSE","Lmna"
"Q9JKR6|HYOU1_MOUSE",334.74,26,25,20,25,18,20,"Carbamidomethylation; Deamidation (NQ)","Hypoxia up-regulated protein 1 OS=Mus musculus GN=Hyou1 PE=1 SV=1","Q9JKR6","HYOU1_MOUSE","HYOU1_MOUSE","Hyou1"
"P40142|TKT_MOUSE",334.13,23,19,19,15,16,16,"Carbamidomethylation; Deamidation (NQ)","Transketolase OS=Mus musculus GN=Tkt PE=1 SV=1","P40142","TKT_MOUSE","TKT_MOUSE","Tkt"
"Q61937|NPM_MOUSE",333.49,9,10,12,9,8,11,"","Nucleophosmin OS=Mus musculus GN=Npm1 PE=1 SV=1","Q61937","NPM_MOUSE","NPM_MOUSE","Npm1"
"P08003|PDIA4_MOUSE",333.39,24,14,17,14,13,21,"Deamidation (NQ)","Protein disulfide-isomerase A4 OS=Mus musculus GN=Pdia4 PE=1 SV=3","P08003","PDIA4_MOUSE","PDIA4_MOUSE","Pdia4"
"P17751|TPIS_MOUSE",332.57,21,14,15,11,18,19,"Carbamidomethylation; Deamidation (NQ)","Triosephosphate isomerase OS=Mus musculus GN=Tpi1 PE=1 SV=4","P17751","TPIS_MOUSE","TPIS_MOUSE","Tpi1"
"Q9DCN2|NB5R3_MOUSE",332.31,25,19,12,13,17,12,"Carbamidomethylation; Deamidation (NQ)","NADH-cytochrome b5 reductase 3 OS=Mus musculus GN=Cyb5r3 PE=1 SV=3","Q9DCN2","NB5R3_MOUSE","NB5R3_MOUSE","Cyb5r3"
"Q921H8|THIKA_MOUSE",331.22,21,10,14,16,14,8,"Carbamidomethylation","3-ketoacyl-CoA thiolase A  peroxisomal OS=Mus musculus GN=Acaa1a PE=1 SV=1","Q921H8","THIKA_MOUSE","THIKA_MOUSE","Acaa1a"
"Q8BHN3|GANAB_MOUSE",329.15,27,21,15,15,20,13,"Carbamidomethylation; Deamidation (NQ)","Neutral alpha-glucosidase AB OS=Mus musculus GN=Ganab PE=1 SV=1","Q8BHN3","GANAB_MOUSE","GANAB_MOUSE","Ganab"
"Q8CGC7|SYEP_MOUSE",328.08,22,10,11,10,10,16,"Carbamidomethylation; Deamidation (NQ)","Bifunctional glutamate/proline--tRNA ligase OS=Mus musculus GN=Eprs PE=1 SV=4","Q8CGC7","SYEP_MOUSE","SYEP_MOUSE","Eprs"
"P63101|1433Z_MOUSE",328.01,16,16,19,10,26,27,"Carbamidomethylation; Oxidation (M); Deamidation (NQ)","14-3-3 protein zeta/delta OS=Mus musculus GN=Ywhaz PE=1 SV=1","P63101","1433Z_MOUSE","1433Z_MOUSE","Ywhaz"
"Q9D8N0|EF1G_MOUSE",327.98,23,23,12,22,19,20,"Carbamidomethylation; Deamidation (NQ)","Elongation factor 1-gamma OS=Mus musculus GN=Eef1g PE=1 SV=3","Q9D8N0","EF1G_MOUSE","EF1G_MOUSE","Eef1g"
"P10605|CATB_MOUSE",326.94,24,24,12,17,12,15,"Carbamidomethylation; Deamidation (NQ)","Cathepsin B OS=Mus musculus GN=Ctsb PE=1 SV=2","P10605","CATB_MOUSE","CATB_MOUSE","Ctsb"
"Q07113|MPRI_MOUSE",326.88,23,16,8,4,8,8,"Carbamidomethylation","Cation-independent mannose-6-phosphate receptor OS=Mus musculus GN=Igf2r PE=1 SV=1","Q07113","MPRI_MOUSE","MPRI_MOUSE","Igf2r"
