"MouseGeneName","HumanGeneName"
"Ighv1-75","AC136616.3"
"Gm22358","AC007375.1"
"Ighv1-22","AC136616.3"
"Ighv1-64","AC136616.3"
"Olfr733","AC171558.1"
"Gm23096","RNU6-1237P"
"Ighv1-82","AC136616.3"
"Ighv1-19","AC136616.3"
"Ighv1-69","AC136616.3"
"Gm23898","RNU6-1294P"
"Gm23939","AC007375.1"
"Gm22897","SCARNA4"
"Gm23584","AC023050.2"
"Gm25117","AC009121.2"
"Gm22965","RNU6-1004P"
"Gm22315","AC009121.2"
"Gm25128","SNORD117"
"Gm23037","RN7SKP118"
"Gm24572","MIR3618"
"Gm24202","RNU6-1123P"
"Gm25320","RN7SKP186"
"Gm23451","AC007375.1"
"Gm23736","SNORD114-28"
"Gm23736","SNORD114-30"
"Gm23736","SNORD114-23"
"Gm23736","SNORD113-5"
"Gm24879","AC009121.2"
"Gm24378","RNU6-1246P"
"Ighv1-76","AC136616.3"
"Gm22883","RNU6-167P"
"Ighv1-43","AC136616.3"
"Gm25115","RNU1-57P"
"Gm22338","AC008013.1"
"Gm23676","RNU6-58P"
"Gm25859","AC007375.1"
"Ighv14-1","AC136616.3"
"Gm22890","AC009121.2"
"Gm24610","AC007375.1"
"Gm26413","AC112786.1"
"Gm22387","SCARNA3"
"Gm25935","RNU6-393P"
"Mirlet7f-2","MIRLET7F2"
"Gm24350","SNORA17A"
"Snora3","AP001619.3"
"Gm25419","SNORD3J"
"Gm23278","AC009121.2"
"Gm23455","AC007375.1"
"n-R5s95","RNA5SP535"
"Gm22416","SCARNA3"
"Gm22373","SNORD116-18"
"Gm22373","SNORD116-16"
"Ighv14-2","AC136616.3"
"Gm24775","RNU6-512P"
"Gm24316","RNU6-167P"
"Mir134","MIR134"
"Gm24826","SNORD3J"
"Gm26108","RNU2-26P"
"Mir500","MIR502"
"Gm22080","RNU6-770P"
"Gm25825","SCARNA4"
"Gm24288","AC009121.2"
"Gm23279","RNA5SP172"
"Gm25369","AC068985.1"
"Ighv1-18","AC136616.3"
"Gm23975","RNU6-713P"
"Gm23201","SNORD12"
"Ighv1-77","AC136616.3"
"Rnu3b3","SNORD3J"
"Gm25815","RNU6-15P"
"Gm23168","AC009121.2"
"Gm23545","RNU6-947P"
"Gm25188","AC007375.1"
"Gm22988","AC009121.2"
"Gm23643","RNU6-264P"
"Gm22897","AC112786.1"
"Gm22459","AC007375.1"
"Gm22384","RNU6-462P"
"Ighv1-11","AC136616.3"
"Gm22571","AC116913.2"
"Ighv1-47","AC136616.3"
"Gm24858","RN7SKP289"
"Gm24727","AC009121.2"
"Snora9","SNORA9"
"Gm25383","AC009121.2"
"Ighv1-53","AC136616.3"
"Ighv1-58","AC136616.3"
"Ighv1-56","AC136616.3"
"Ighv1-16","AC136616.3"
"Gm24650","RNU6-908P"
"Gm23905","RNA5SP172"
"Gm25696","RNU6-946P"
"Gm24916","SNORD19B"
"Ighv1-61","AC136616.3"
"Gm22943","RNU6-1238P"
"Gm22887","RNU6-15P"
"Gm26253","RNU6-614P"
"Ighv1-36","AC136616.3"
"Gm24848","RNU6-1333P"
"Gm26252","SNORD32A"
"Gm26252","SNORD32B"
"Gm23598","AC009121.2"
"Gm22572","RNU6-881P"
"Ighv1-24","AC136616.3"
"Gm25044","RNU6-441P"
"n-R5s69","AL021938.1"
"Ighv1-12","AC136616.3"
"Gm26257","RNU6-824P"
"Gm23546","AC009121.2"
"Gm25113","AC009121.2"
"Gm23210","RNU6-410P"
"Gm26379","SNORA17A"
"Ighv1-62-2","AC136616.3"
"Mir24-1","MIR24-1"
"Snord45c","AL391314.1"
"Snord12","SNORD12"
"Ighv1-9","AC136616.3"
"Gm23211","RN7SKP238"
"Ighv1-84","AC136616.3"
"Gm25720","RNU6-824P"
"Gm22711","SNORA50C"
"Gm25291","AC009121.2"
"Olfr732","AC171558.1"
"Gm23442","SNORA38"
"Mir27a","MIR27A"
"Ighv1-26","AC136616.3"
"Gm25493","RNU6-1228P"
"Rn7sk","RN7SKP118"
"Ighv14-4","AC136616.3"
"Gm25820","SCARNA4"
"Mir200c","MIR200C"
"Gm23212","AL138691.1"
"Gm23615","AC005787.1"
"Mir32","MIR32"
"Ighv1-78","AC136616.3"
"Gm24475","AC009121.2"
"Gm23993","AC009121.2"
"Mir33","MIR33A"
"AF357428","SNORD114-28"
"AF357428","SNORD114-30"
"AF357428","SNORD114-23"
"AF357428","SNORD113-5"
"Gm22143","RN7SKP32"
"Gm25617","SNORA17A"
"Mir1306","MIR1306"
"Gm24221","SCARNA10"
"Gm23713","AC007375.1"
"Ighv1-5","AC136616.3"
"Snord37","AL359396.1"
"Gm22266","SNORA17A"
"Gm23883","RN7SKP171"
"Gm24355","AC007375.1"
"Gm26326","AC022296.1"
"Gm22978","RNU1-125P"
"Gm25876","AC007375.1"
"Rnu3b1","SNORD3J"
"Gm24698","AP001619.3"
"Gm23003","RNU6-480P"
"Gm22981","SNORD114-28"
"Gm22981","SNORD114-30"
"Gm22981","SNORD114-23"
"Gm22981","SNORD113-5"
"Gm24498","RNU6-830P"
"Rnu3b2","SNORD3J"
"Ighv1-62-1","AC136616.3"
"Ighv1-74","AC136616.3"
"Gm26413","SCARNA4"
"Ighv1-39","AC136616.3"
"Zdhhc11","AC026740.3"
"Gm22615","AC007375.1"
"Gm22229","RNU6-697P"
"Ighv1-54","AC136616.3"
"Gm24412","AC007375.1"
"Gm24451","SNORA51"
"Gm22980","AC005787.1"
"Gm25969","AC021863.1"
"Mir26a-1","MIR26A1"
"Gm24949","SNORD3J"
"Ighv1-67","AC136616.3"
"Ighv14-3","AC136616.3"
"Gm25119","SCARNA3"
"Gm25403","AC007679.3"
"Ighv1-52","AC136616.3"
"Gm23406","AC007375.1"
"AF357341","SNORD114-28"
"AF357341","SNORD114-30"
"AF357341","SNORD114-23"
"AF357341","SNORD113-5"
"Mir15a","MIR15A"
"Gm23123","AC009121.2"
"n-R5s180","RNA5SP172"
"Gm26039","SCARNA4"
"Gm23716","AC009121.2"
"Gm23102","RNU5A-2P"
"Gm22303","AC007375.1"
"Gm25569","AC009121.2"
"Gm22813","AC112786.1"
"Gm25053","SNORA17A"
"Ighv1-34","AC136616.3"
"Gm24130","AC009121.2"
"Gm22210","AC009121.2"
"Ighv1-23","AC136616.3"
"Ighv1-81","AC136616.3"
"Gm22972","AC008013.1"
"Gm23838","RNU1-115P"
"Mir106b","MIR106B"
"Gm22361","RNU1-115P"
"Gm26091","RNU6-1037P"
"Gm23339","AC009121.2"
"Gm24339","AC093872.1"
"Gm23232","RNU6-441P"
"Gm23128","SNORA17A"
"Mir99a","MIR99A"
"Ighv1-50","AC136616.3"
"Gm22813","SCARNA4"
"Gm23888","RN7SKP113"
"Ighv1-80","AC136616.3"
"Dgcr6","AC007325.4"
"Gm25771","AC009121.2"
"Mir140","MIR140"
"Gm27366","AC007351.4"
"Mir876","MIR876"
"Rnu3b4","SNORD3J"
"Gm23299","AC007375.1"
"Gm23370","AC112786.1"
"Ighv1-71","AC136616.3"
"Gm23604","SNORA17A"
"Gm22540","RNU6-366P"
"Gm25856","SNORD114-28"
"Gm25856","SNORD114-30"
"Gm25856","SNORD114-23"
"Gm25856","SNORD113-5"
"Gm25326","RNU6-1290P"
"Snora44","SNORA44"
"Gm22596","RN7SKP289"
"Snord32a","SNORD32A"
"Snord32a","SNORD32B"
"Gm24963","AC009121.2"
"Gm22711","AC025362.1"
"Gm23761","RNU6-824P"
"Gm23927","SNORD3J"
"Gm24780","AC009121.2"
"Gm26275","RN7SKP284"
"Ighv1-85","AC136616.3"
"Gm23907","RNU2-8P"
"Gm22013","RNU6-274P"
"Mir223","MIR223"
"Gm26203","RNU6-308P"
"Ighv1-20","AC136616.3"
"Gm22281","RNU6-176P"
"Gm22149","SNORA17A"
"Mir96","MIR96"
"Gm22850","RNU2-62P"
"Gm26036","AC009121.2"
"Ighv1-62-3","AC136616.3"
"Vaultrc5","AC007679.3"
"Scarna10","SCARNA10"
"n-R5s94","RNA5SP172"
"Scarna3b","SCARNA3"
"Gm27619","AC007375.1"
"Gm24146","RN7SKP203"
"Ighv1-63","AC136616.3"
"Scarna3a","SCARNA3"
"Gm26263","RNU1-62P"
"Gm25820","AC112786.1"
"Gm22739","RNU1-138P"
"Gm22739","RNU1-41P"
"Gm24143","SNORA38"
"Gm22865","SNORD3J"
"Gm23370","SCARNA4"
"Gm25203","SNORD3J"
"Gm23852","SNORD19B"
"Gm24119","SNORA53"
"Gm22004","RNU6-824P"
"Gm22200","SNORD63B"
"Gm24452","AL158032.1"
"Gm23343","AC009121.2"
"Ighv1-49","AC136616.3"
"Ighv1-4","AC136616.3"
"Ighv1-37","AC136616.3"
"Gm24262","AC009121.2"
"Gm25058","SCARNA4"
"Ighv15-2","AC136616.3"
"Gm25808","RN7SKP229"
"Gm24782","AC009121.2"
"Snora78","AC097376.1"
"Gm22435","AL137790.1"
"Gm25806","RNU4-87P"
"Gm22554","AC009121.2"
"Snora15","SNORA15B-2"
"Mir187","MIR187"
"Ighv1-31","AC136616.3"
"Gm23275","RNU6-590P"
"Gm25188","AP001610.1"
"Gm24507","SCARNA18"
"Mir129-1","MIR129-1"
"Gm26496","RNU6-6P"
"Gm24383","RN7SKP282"
"Snora47","SNORA47"
"Gm23352","RNU7-95P"
"Ighv1-72","AC136616.3"
"Gm22620","AC023950.1"
"Gm26313","RN7SKP244"
"Gm23599","RN7SKP39"
"Gm22706","RNU1-131P"
"Gm22225","RN7SKP126"
"Gm25364","RNU6-717P"
"n-R5s149","RNA5S3"
"Gm23421","RNU6-225P"
"Gm23354","RNU6-988P"
"Gm23377","AC133550.1"
"Gm24943","RPPH1"
"Gm23794","RNU6-831P"
"Gm26131","RNU6-1116P"
"Mir17","MIR17"
"Gm23790","RNU6-41P"
"Gm23613","SNORA36C"
"Mir26b","MIR26B"
"Gm27653","SCARNA17"
"Gm25722","RN7SKP126"
"Gm22607","RNU6-548P"
"Gm25414","RNU6-1260P"
"Gm23995","AC018692.1"
"Gm23995","CR769767.2"
"Gm23995","AL591926.2"
"Gm25930","RNU6-560P"
"Gm22170","RNU6-6P"
"Gm23772","AC090260.1"
"Gm22576","RNU6-1218P"
"Mir18","MIR18A"
"Gm23453","RNU6-619P"
"Mir103-2","MIR103A2"
"Gm24430","RNU6-1003P"
"Mir345","MIR345"
"Gm22163","AC018692.1"
"Gm22163","CR769767.2"
"Gm22163","AL591926.2"
"Mir23b","MIR23B"
"Gm24552","RNU6-346P"
"Gm26494","AC007684.1"
"Ighv1-15","AC136616.3"
"Gm25293","RN7SKP294"
"Mir382","MIR382"
"Mir143","MIR143"
"Gm24678","RNU6-579P"
"Gm24458","RNU6-6P"
"Gm25694","RPPH1"
"Gm23148","RNU6-166P"
"Gm26368","AC018692.1"
"Gm26368","CR769767.2"
"Gm26368","AL591926.2"
"Gm27393","RNU7-95P"
"AF357428","SNORD114-29"
"Gm22815","RNU7-95P"
"Gm24184","AL356273.5"
"Gm22339","RNU7-95P"
"Gm24917","RNU6-98P"
"Scarna13","SCARNA13"
"Gm23641","RNU6-413P"
"Gm23641","RNU6-1227P"
"Gm22987","RN7SKP123"
"Mir494","MIR494"
"Gm22811","RPPH1"
"Gm22378","RNU6-1147P"
"Gm25219","RN7SKP206"
"Mir127","MIR127"
"Gm24616","SNORA4"
"Gm27919","AC119740.1"
"Gm24259","RNU6-611P"
"Gm22205","SNORD114-24"
"Gm22205","SNORD114-21"
"Gm24134","AL162853.1"
"Gm22458","RNU6-1075P"
"Gm24208","SNORD118"
"Gm23655","RNU6-1136P"
"Gm26064","RNU6-867P"
"Gm22965","RNU6-444P"
"Gm25423","RNU6-1141P"
"Gm25423","RNU6-581P"
"Gm25423","RNU6-494P"
"Gm26315","RN7SKP9"
"Gm27275","AC012354.4"
"Gm27679","AC007241.1"
"Gm27679","AC015978.1"
"Gm25834","RNU6-980P"
"Gm49799","RN7SKP43"
"Gm27390","AC007383.3"
"Mir124a-1","MIR124-1"
"Gm22338","AC092821.1"
"Gm22338","SNORA75B"
"Gm25294","RNU6-161P"
"Gm24261","RNU6-48P"
"Gm24610","AP001610.1"
"Gm24893","RN7SKP216"
"Gm26008","RNU6-311P"
"Gm23996","AC018692.1"
"Gm23996","CR769767.2"
"Gm23996","AL591926.2"
"Gm24615","AC011749.1"
"Snord95","SNORD95"
"n-R5s133","RNA5S10"
"Gm23902","AC018692.1"
"Gm23902","CR769767.2"
"Gm23902","AL591926.2"
"Gm22577","RNU6-486P"
"Snord34","SNORD34"
"Gm25253","RNU6-941P"
"Gm25253","RNU6-146P"
"Gm26108","RNU2-23P"
"Gm26108","RNU2-70P"
"Gm26108","RNU2-32P"
"Gm24857","RN7SKP10"
"Gm24289","SCARNA14"
"Gm23203","RNU6-266P"
"Gm22359","RNU6-572P"
"Gm24439","AC104012.1"
"Gm22605","RNU6-991P"
"Gm27940","AC007241.1"
"Gm27940","AC015978.1"
"Gm27357","Z99774.5"
"Gm25697","AC007684.1"
"Snord90","SNORD90"
"Gm22069","RNU6-1189P"
"Gm27521","RNU7-95P"
"Gm23016","RNU7-95P"
"Gm27964","RNU7-95P"
"Snord118","SNORD118"
"Gm25056","RNU7-95P"
"Gm22321","RNU6-382P"
"Gm26489","SCARNA13"
"Gm25856","SNORD114-29"
"Gm22894","AC084854.1"
"Gm26438","RNY1P9"
"Gm26438","AC096637.1"
"Gm26438","AL590113.1"
"Gm26438","AC009634.1"
"1600017P15Rik","AC078802.2"
"Gm24500","AL109931.1"
"Gm28016","AC109486.2"
"Mir450-1","MIR450A1"
"Gm26409","RNU7-95P"
"Gm23119","SCARNA17"
"Gm23907","RNU2-47P"
"Gm26224","AC009774.1"
"Gm26224","AC126172.1"
"Gm26151","RNU7-95P"
"Gm22841","RNU7-95P"
"Gm25494","RNU6-883P"
"Gm27343","RNU7-95P"
"Gm23245","SNORA22C"
"Gm27549","RNU7-95P"
"Gm26130","SNORA29"
"Gm22152","AC025614.2"
"Gm22152","SNORD3H"
"Gm25296","SNORD95"
"Gm22915","AC018692.1"
"Gm22915","CR769767.2"
"Gm22915","AL591926.2"
"Gm24225","RNU6-537P"
"Gm22122","RNU4-25P"
"Gm24671","RNU1-31P"
"Gm27680","AL031591.2"
"Mir711","MIR711"
"Snord52","SNORD52"
"Gm26034","RNU6-67P"
"Snord82","SNORD82"
"Gm23648","RNU6-378P"
"Terc","AC078802.2"
"Ighv1-42","AC136616.3"
"Gm22739","RNU1-95P"
"Gm22739","RNU1-48P"
"Snord80","AC104304.1"
"Snord80","SNORD77B"
"Snord65","SNORD65"
"Mir25","MIR25"
"Gm22857","AC018692.1"
"Gm22857","CR769767.2"
"Gm22857","AL591926.2"
"Gm26169","AC018692.1"
"Gm26169","CR769767.2"
"Gm26169","AL591926.2"
"Gm22601","RN7SKP123"
"Gm25343","RNU6-1195P"
"Gm25440","RNU1-104P"
"Gm26447","SNORA63"
"Gm26447","SNORA63C"
"Gm24732","RNU7-95P"
"Gm25150","RNU7-95P"
"Gm22864","SNORA63"
"Gm22864","SNORA63C"
"Mir509","MIR514A3"
"Mir509","MIR509-1"
"Gm22681","RNU6-63P"
"Mir486","MIR486-1"
"Gm22423","RNU2-49P"
"Gm23665","RNU7-95P"
"Gm27899","AL132655.7"
"Gm26177","RNU6-1096P"
"Gm25777","SNORA77B"
"Gm23887","RNU2-20P"
"Mir10a","MIR10A"
"Gm22587","RN7SKP270"
"Gm27635","RNU7-95P"
"Snord70","SNORD70"
"Gm25624","SCARNA13"
"Gm22981","SNORD114-29"
"Gm24147","AC007684.1"
"Gm27884","AL731566.1"
"Gm25655","AC022336.3"
"Gm25578","RNU6-113P"
"Gm22615","AP001610.1"
"Gm27522","AC007938.6"
"Mir877","MIR877"
"Gm23916","RPPH1"
"Gm27972","AC126175.1"
"Gm27972","AL137060.5"
"Gm23984","RPPH1"
"Gm26102","RN7SKP34"
"Gm22602","RNU6-1249P"
"Gm25899","RNU4-70P"
"Gm24465","RNU6-1035P"
"Gm26186","AL356785.1"
"Gm27699","AC004774.1"
"Snord64","AL590560.1"
"Gm27905","AC004774.3"
"Gm24535","RNU6-776P"
"Gm25862","AC018692.1"
"Gm25862","CR769767.2"
"Gm25862","AL591926.2"
"Gm22045","RNU6-957P"
"AF357341","SNORD114-29"
"Gm25863","RPPH1"
"Gm22035","AC022336.3"
"Gm23531","SNORD95"
"Gm24501","RNU7-95P"
"Gm22953","MIR1282"
"Gm22808","RNU6-1028P"
"Gm22858","SNORD53B"
"Mirlet7c-1","MIRLET7C"
"Gm24531","RNU6-1141P"
"Gm24531","RNU6-581P"
"Gm24531","RNU6-494P"
"Gm22600","RN7SKP10"
"Gm25061","RNU6-636P"
"Gm26038","RNU6-1102P"
"Gm24736","RNU1-104P"
"Mir152","MIR152"
"Gm25335","AC106041.1"
"Gm24687","RPPH1"
"Gm27265","AL138834.1"
"Gm26351","RPPH1"
"Gm23888","RN7SKP148"
"Gm22876","RN7SL296P"
"Gm24913","RNU6-1257P"
"Gm22942","AC018692.1"
"Gm22942","CR769767.2"
"Gm22942","AL591926.2"
"Gm22083","RNU6-933P"
"Mir222","MIR222"
"Mir200b","MIR200B"
"Gm23454","AL732371.1"
"Gm23643","RNU6-565P"
"Gm23217","RNU6-6P"
"Gm25043","RPPH1"
"Gm25217","RNU6-1261P"
"Gm26323","RN7SKP87"
"Mir19b-2","MIR19B2"
"Gm23699","AC018692.1"
"Gm23699","CR769767.2"
"Gm23699","AL591926.2"
"Gm25687","AL020995.2"
"Gm23735","RNVU1-4"
"Gm24716","RNU6-376P"
"Gm26253","FP885535.1"
"Gm26253","RNU6-458P"
"Gm26253","RNU6-811P"
"Gm25828","RNU6-1291P"
"Gm27579","RNU7-95P"
"Mir29c","MIR29C"
"Gm22888","SNORD121B"
"Mir34b","MIR34B"
"Gm22059","SNORD124"
"Gm25827","RNU6-1203P"
"Scarna9","AL732366.2"
"Scarna9","AP003499.3"
"Gm24722","RNU6-6P"
"Mir199a-2","MIR199A2"
"Gm26464","RPPH1"
"Gm23210","RNU6-695P"
"Gm25480","AC007684.1"
"Gm22389","RN7SKP299"
"Gm22389","RN7SKP49"
"Gm27934","RNU7-95P"
"Gm26017","RNU6-113P"
"Gm24481","RNU6-486P"
"Gm23208","AL356785.1"
"Gm22316","RN7SKP272"
"Gm24390","RNU7-95P"
"Gm25513","RNU1-83P"
"Gm25513","RNU1-109P"
"Gm22362","AC018692.1"
"Gm22362","CR769767.2"
"Gm22362","AL591926.2"
"Gm25514","RNU1-146P"
"Mir381","MIR381"
"Mir181a-1","MIR181A1"
"Gm25907","AC079684.1"
"Gm25212","RNA5S5"
"Gm24878","RNU6-545P"
"Gm25661","RPPH1"
"Gm22902","RPPH1"
"Gm23242","RNU6-291P"
"Gm24382","RNU6-789P"
"Gm24384","RNU6-684P"
"n-R5s123","RNA5S4"
"Mir135a-1","MIR135A1"
"Gm23213","RN7SKP245"
"Gm25143","RNU6-166P"
"Gm25428","AC090260.1"
"Mir199a-1","MIR199A1"
"Mirlet7c-2","MIRLET7A3"
"Gm22293","AP001610.1"
"Gm22358","AP001610.1"
"Mir105","MIR105-2"
"Gm50450","AL049745.1"
"Mir9-1","MIR9-1"
"Snord78","AC073875.1"
"Gm22084","AC106041.1"
"Gm24521","RNU6-20P"
"Gm26293","SNORD70B"
"Gm24457","RNU6-450P"
"Gm28000","AC007241.1"
"Gm28000","AC015978.1"
"Gm25512","RNU6-206P"
"Gm23642","RN7SKP91"
"Mirlet7i","MIRLET7I"
"Gm24202","RNU6-1159P"
"Gm23736","SNORD114-29"
"Mrpl23","AC004556.3"
"Mir29b-1","MIR29B1"
"Gm23349","RNU6-383P"
"Gm24885","RPPH1"
"Gm24200","RNU1-17P"
"Gm22373","SNORD116-10"
"Gm22373","SNORD116-22"
"Gm27572","AC109486.3"
"Gm22911","RNU6-1272P"
"Gm22454","RNU6-957P"
"Gm22484","RN7SKP34"
"Gm25921","AC018692.1"
"Gm25921","CR769767.2"
"Gm25921","AL591926.2"
"Gm26427","RNU6-2"
"CAAA01124250.1","RNU2-72P"
"Gm24769","AL356785.1"
"Gm25666","RNU6-24P"
"Mir337","MIR337"
"Gm27369","AC091825.2"
"Gm24499","RNU6-310P"
"Mir34c","MIR34C"
"Gm25945","AL592436.1"
"Gm25886","RNU6-1291P"
