"MouseGeneName","HumanGeneName"
"Chaf1b","CHAF1B"
"Rbbp6","RBBP6"
"Gm4064","RBMY1E"
"Gm4064","RBMY1F"
"Six3","SIX3"
"A4gnt","A4GNT"
"Gm27619","AC007375.1"
"Gm24355","AC007375.1"
"Slc27a5","SLC27A5"
"Gm26441","RNU6-964P"
"Wdr88","WDR88"
"Cep126","CEP126"
"Gm22459","AC007375.1"
"Vps37d","VPS37D"
"Ighv7-4","IGHV3-15"
"Bglap2","BGLAP"
"Adgrg1","ADGRG1"
"Gm22615","AC007375.1"
"Ighv8-6","IGHV2-5"
"Gm23713","AC007375.1"
"Ighv8-13","IGHV2-5"
"Cldn18","CLDN18"
"Bglap3","BGLAP"
"Klhl4","KLHL4"
"Gm27265","AL138834.1"
"Kif15","KIF15"
"Kcnj16","KCNJ16"
"Gm23456","SNORA6"
"Ighv8-11","IGHV2-5"
"Lsamp","LSAMP"
"Gm23406","AC007375.1"
"Rnf168","RNF168"
"Gm27717","LINC00901"
"Ighv3-4","IGHV4-4"
"Kcne3","KCNE3"
"Ropn1","ROPN1B"
"Spag5","AC005726.1"
"Nr1h4","NR1H4"
"Gm27421","AC007435.2"
"Klk1b1","KLK3"
"Stum","STUM"
"Sars2","SARS2"
"Cenpn","CENPN"
"Bglap","BGLAP"
"Gm29289","RBMY1E"
"Gm29289","RBMY1F"
"Morc3","MORC3"
"Fbxo17","FBXO17"
"Gm23451","AC007375.1"
"Fam78a","FAM78A"
"Enpp2","ENPP2"
"Pgm3","PGM3"
"Pign","PIGN"
"Klk1b26","KLK3"
"Fbxo45","FBXO45"
"Arhgef3","ARHGEF3"
"Scarna3b","SCARNA3"
"Gm25876","AC007375.1"
"Reg3b","REG1B"
"Ighv8-2","IGHV2-5"
"Klk1","KLK3"
"Rbmy","RBMY1E"
"Rbmy","RBMY1F"
"Gap43","GAP43"
"Aldoc","ALDOC"
"Ighv7-3","IGHV3-15"
"Hspa5","HSPA5"
"Rad54b","FSBP"
"Rad54b","RAD54B"
"Klk1b8","KLK3"
"Shprh","SHPRH"
"Reg2","REG1A"
"Zbbx","ZBBX"
"Sis","SI"
"Pigs","PIGS"
"Fam221b","FAM221B"
"Gm27366","AC007351.4"
"Hectd4","HECTD4"
"Gm21708","RBMY1E"
"Gm21708","RBMY1F"
"Fbxo30","FBXO30"
"Lnp1","LNP1"
"Zfp324","ZNF324"
"Ogfod2","OGFOD2"
"Mapk15","MAPK15"
"Gm23442","SNORA38"
"Acvr1c","ACVR1C"
"Mrc2","MRC2"
"Ighv8-5","IGHV2-5"
"Gm25188","AC007375.1"
"Prpsap1","PRPSAP1"
"Gm25119","SCARNA3"
"Pcyt1a","PCYT1A"
"Gm27611","AC117415.2"
"Klri2","KLRC1"
"Mob1a","MOB1A"
"Oprm1","OPRM1"
"Car7","CA7"
"Ighv9-2","IGHV7-4-1"
"Slc34a2","SLC34A2"
"Gm23939","AC007375.1"
"Gm22303","AC007375.1"
"Tmem42","TMEM42"
"Dnajc30","DNAJC30"
"Snord78","AC092630.1"
"Gm22387","SCARNA3"
"Ighv7-2","IGHV3-15"
"Bche","BCHE"
"Six2","SIX2"
"Gm24044","SNORA6"
"Wdr53","WDR53"
"Gm22293","AC007375.1"
"Hs3st3a1","HS3ST3A1"
"March10","MARCHF10"
"Asap1","ASAP1"
"Chrac1","CHRAC1"
"S100b","S100B"
"Gm27680","AL031591.2"
"Atxn7l1","ATXN7L1"
"Klk1b22","KLK3"
"Nit2","NIT2"
"Gm21677","RBMY1E"
"Gm21677","RBMY1F"
"Gm23817","RNU6-360P"
"Pgm2l1","PGM2L1"
"Hint2","HINT2"
"Klk1b3","KLK3"
"Slitrk3","SLITRK3"
"Paqr6","PAQR6"
"Pard3b","PARD3B"
"Mir125a","MIR125A"
"Ighv8-4","IGHV2-5"
"Gm10256","RBMY1E"
"Gm10256","RBMY1F"
"Itpkb","ITPKB"
"Dxo","DXO"
"Gm25859","AC007375.1"
"Tm4sf19","TM4SF19"
"Tm4sf19","TM4SF19-TCTEX1D2"
"Ighv8-8","IGHV2-5"
"Mir711","MIR711"
"Tspyl2","TSPYL2"
"Zfp142","ZNF142"
"Nrros","NRROS"
"Ighv8-9","IGHV2-5"
"Reg1","REG1A"
"Gm22229","RNU6-422P"
"Ighv3-1","IGHV4-4"
"Tomm70a","TOMM70"
"Smpd3","SMPD3"
"Map2k6","MAP2K6"
"Gm22607","RNU6-360P"
"Reg3a","REG1B"
"Gm22942","AL591926.2"
"Gm10352","RBMY1E"
"Gm10352","RBMY1F"
"Ighv3-3","IGHV4-4"
"Klk1b9","KLK3"
"Tmem8b","TMEM8B"
"Gm23455","AC007375.1"
"Gm27280","AC004080.9"
"Klk1b27","KLK3"
"Gm24143","SNORA38"
"Pip4p2","PIP4P2"
"Sphk1","SPHK1"
"Klk1b16","KLK3"
"Smco1","SMCO1"
"Klri1","KLRC1"
"Slc51a","SLC51A"
"Ighv7-1","IGHV3-15"
"Pclaf","AC087632.2"
"Pclaf","PCLAF"
"Ldlrap1","LDLRAP1"
"Unc119","UNC119"
"Gm24208","SNORD118"
"Gm24610","AC007375.1"
"Scarna3a","SCARNA3"
"Gm23299","AC007375.1"
"Ap1g1","AP1G1"
"Gm24412","AC007375.1"
"Gm24451","SNORA51"
"Prmt7","PRMT7"
"Ubxn7","UBXN7"
"Mab21l4","MAB21L4"
"Gorab","GORAB"
"Stk19","STK19"
"Clec2m","KLRC1"
"Gm21693","RBMY1E"
"Gm21693","RBMY1F"
"Gm25777","SNORA77"
"Plpp7","PLPP7"
"Gm23404","AC007375.1"
"Bcat2","BCAT2"
"Amd2","AMD1"
"Snord82","SNORD82"
"Csnk1g1","CSNK1G1"
"Cep19","CEP19"
"Ighv3-8","IGHV4-4"
"Cpa5","CPA5"
"Lrp4","LRP4"
"Sec62","SEC62"
"H2al1k","H2AL1RP"
"Slc5a8","SLC5A8"
"Gm12184","CDK2AP1"
"Faiml","FAIM"
"Piga","PIGA"
"Chad","CHAD"
"Mtfr1l","MTFR1L"
"Klk1b8","KLK2"
"Rbl2","RBL2"
"Kcnc2","KCNC2"
"Arhgap19","ARHGAP19-SLIT1"
"Arhgap19","ARHGAP19"
"Nid1","NID1"
"Dynll1","DYNLL1"
"Tssk3","TSSK3"
"Lrrc31","LRRC31"
"Ighv1-24","IGHV1-24"
"Gatc","GATC"
"Gatc","AL021546.1"
"Etaa1","ETAA1"
"Arsa","ARSA"
"Shank3","SHANK3"
"Ighv14-3","IGHV1-24"
"Hdac1","HDAC1"
"Ighv1-7","IGHV1-24"
"Hba-a1","HBA2"
"Hba-a1","HBA1"
"Ighv1-18","IGHV1-24"
"Kat7","KAT7"
"H2al1o","H2AL1RP"
"Kera","KERA"
"Ptpn11","PTPN11"
"Ighv1-23","IGHV1-24"
"Atxn7l3b","ATXN7L3B"
"Fmn2","FMN2"
"Rfesd","RFESD"
"Rspry1","RSPRY1"
"Slc7a3","SLC7A3"
"Btg1b","BTG1"
"Srpx","SRPX"
"Srsf9","SRSF9"
"Ighv1-76","IGHV1-24"
"Thsd7b","THSD7B"
"H2-Ke6","HSD17B8"
"Ano4","ANO4"
"Plcxd1","PLCXD1"
"Bcat1","BCAT1"
"Fbxo43","FBXO43"
"Tgif2","TGIF2"
"Rptor","RPTOR"
"Ppp2r3d","PPP2R3B"
"Fhl1","FHL1"
"H2al2a","H2AL1RP"
"Acsf2","ACSF2"
"Klk1b22","KLK2"
"Gpr137b","GPR137B"
"Cpxcr1","CPXCR1"
"H2al1a","H2AL1RP"
"Ncbp2","NCBP2"
"Psmd3","PSMD3"
"Ptges3l","PTGES3L"
"Garnl3","GARNL3"
"Rab17","RAB17"
"Ccdc194","CCDC194"
"AI597479","C2orf49"
"H2al1h","H2AL1RP"
"4932411N23Rik","DMTF1"
"Col6a6","COL6A6"
"Pitpnm2","PITPNM2"
"Ighv8-8","IGHV2-26"
"Klk6","KLK6"
"Dmc1","DMC1"
"Ighv1-81","IGHV1-24"
"Ighv1-19","IGHV1-24"
"Tmem39a","TMEM39A"
"Ahcyl1","AHCYL1"
"Ccdc81","CCDC81"
"Fbxl14","FBXL14"
"Ighv8-4","IGHV2-26"
"Gpr45","GPR45"
"Gsdma3","GSDMA"
"Ighv1-61","IGHV1-24"
"H2al1m","H2AL1RP"
"Nme9","NME9"
"Hs3st3b1","HS3ST3B1"
"Cfap300","CFAP300"
"Atp1a4","ATP1A4"
"Ighv1-75","IGHV1-24"
"Tnrc6a","TNRC6A"
"Srp72","SRP72"
"Ighv1-43","IGHV1-24"
"Samd7","SAMD7"
"Mterf4","MTERF4"
"AC125149.5","SP110"
"1700030J22Rik","C16orf46"
"Gtpbp6","GTPBP6"
"Tgif2lx2","TGIF2LX"
"Birc3","BIRC3"
"H2al1c","H2AL1RP"
"Abraxas1","ABRAXAS1"
"Acp7","ACP7"
"Arl1","ARL1"
"Ighv3-3","IGHV4-28"
"Ighv3-3","IGHV4-31"
"Ighv3-3","IGHV4-34"
"Ighv3-3","IGHV4-39"
"Skil","SKIL"
"Gm10352","RBMY1J"
"Stk26","STK26"
"6430628N08Rik","TMEM275"
"Rxfp1","RXFP1"
"Arl8a","ARL8A"
"Lrrtm2","LRRTM2"
"Agap3","AGAP3"
"Smarcc2","SMARCC2"
"Klk1b16","KLK2"
"Ssr4","SSR4"
"Rilpl2","RILPL2"
"Pcbp3","PCBP3"
"1700003E16Rik","AC005041.1"
"1700003E16Rik","C2orf81"
"AC125149.4","SP110"
"Srbd1","SRBD1"
"Slc45a3","SLC45A3"
"Ighv1-15","IGHV1-24"
"Gm27029","AARSD1"
"Gm27029","PTGES3L-AARSD1"
"Pabpc4l","PABPC4L"
"Nxph2","NXPH2"
"Slc26a7","SLC26A7"
"Erbb4","ERBB4"
"Ighv1-56","IGHV1-24"
"Pou3f3","POU3F3"
"Gm21693","RBMY1J"
"Dmtf1","DMTF1"
"Cpa1","CPA1"
"Ighv1-69","IGHV1-24"
"Cables1","CABLES1"
"Cby1","CBY1"
"Ctsb","CTSB"
"Arl9","ARL9"
"Olfr464","OR4D1"
"AC168977.1","SP110"
"Tmem164","TMEM164"
"Alg1","ALG1L2"
"Fam83h","FAM83H"
"Cdhr3","CDHR3"
"Arl2bp","ARL2BP"
"Serpini2","SERPINI2"
"Fmo3","FMO3"
"Slc26a9","SLC26A9"
"Rpl5","RPL5"
"Plekha4","PLEKHA4"
"Gm21704","RBMY1J"
"Mphosph9","MPHOSPH9"
"Ighv1-47","IGHV1-24"
"Luc7l","LUC7L"
"Lpar5","LPAR5"
"Ighv8-12","IGHV2-26"
"Ighv1-64","IGHV1-24"
"Eif3c","EIF3CL"
"Myd88","MYD88"
"Trim28","TRIM28"
"Cygb","CYGB"
"Ighv1-9","IGHV1-24"
"Ppp1r15a","PPP1R15A"
"Ftsj3","FTSJ3"
"Pcdh10","PCDH10"
"Mrps9","MRPS9"
"AC133103.5","SP110"
"Lipt2","LIPT2"
"Ighv12-3","IGHV4-28"
"Ighv12-3","IGHV4-31"
"Ighv12-3","IGHV4-34"
"Ighv12-3","IGHV4-39"
"Utp20","UTP20"
"Gtf3c6","GTF3C6"
"Stx8","STX8"
"Stx1b","STX1B"
"Sypl","SYPL1"
"Cul4a","CUL4A"
"Idh3g","IDH3G"
"Yap1","YAP1"
"Ptges3","PTGES3"
"Rtl9","RTL9"
"Klk1b5","KLK2"
"Tmem243","TMEM243"
"Klk7","KLK7"
"Cybb","CYBB"
"Tex11","TEX11"
"Cxxc1","CXXC1"
"Abcb6","ABCB6"
"Ammecr1","AMMECR1"
"Ighv1-67","IGHV1-24"
"Ighv14-2","IGHV1-24"
"Strip1","STRIP1"
"Ighv1-12","IGHV1-24"
"Itih2","ITIH2"
"Pdcd10","PDCD10"
"Cep70","CEP70"
"Gm10260","RPS18"
"Sim2","SIM2"
"Ighv1-77","IGHV1-24"
"Pxn","PXN"
"Lyst","LYST"
"Tmem45a","TMEM45A"
"Rhox10","SHOX"
"Triap1","TRIAP1"
"Scrib","SCRIB"
"Sned1","SNED1"
"Igsf9b","IGSF9B"
"Ctse","CTSE"
"Ring1","RING1"
"Pkd1l2","PKD1L2"
"Pak2","PAK2"
"Zfp90","ZFP90"
"Prlh","PRLH"
"Chrm3","CHRM3"
"Dop1a","DOP1A"
"Prrg1","PRRG1"
"Acrbp","ACRBP"
"Marcksl1","MARCKSL1"
"Sp110","SP110"
"Msi1","MSI1"
"Ccdc134","CCDC134"
"Xk","XK"
"Coq8a","COQ8A"
"Psmc5","PSMC5"
"Dnah7b","DNAH7"
"Armc8","ARMC8"
"9330182L06Rik","KIAA1324L"
"Chchd2","CHCHD2"
"Gm2115","CTXND1"
"Zfp366","ZNF366"
"Ighv1-62-2","IGHV1-24"
"Klk1b4","KLK2"
"Lman2","LMAN2"
"Gm4064","RBMY1J"
"Dnah7a","DNAH7"
"Spag1","SPAG1"
"Rhbdf2","RHBDF2"
"Plvap","PLVAP"
"Zbtb45","ZBTB45"
"Actrt3","ACTRT3"
"Fcer1g","FCER1G"
"Pllp","PLLP"
"Hsd17b14","HSD17B14"
"Pdcd1","PDCD1"
"Spata17","SPATA17"
"Trub1","TRUB1"
"Adcy8","ADCY8"
"Gdpd2","GDPD2"
"Pabpc5","PABPC5"
"Ipcef1","IPCEF1"
"Ighv1-84","IGHV1-24"
"Abhd17c","ABHD17C"
"Ighv1-49","IGHV1-24"
"Gcsh","AC092718.3"
"Gcsh","AC092718.8"
"Gcsh","GCSH"
"Abcc12","ABCC12"
"Ighv1-66","IGHV1-24"
"Rpgr","RPGR"
"Ighv1-42","IGHV1-24"
"Ppp5c","PPP5C"
"Rhebl1","RHEBL1"
"H2al1i","H2AL1RP"
"Mras","MRAS"
"Ighv1-62-1","IGHV1-24"
"Rab3ip","AC025263.2"
"Rab3ip","RAB3IP"
"Ighv1-82","IGHV1-24"
"Senp5","SENP5"
"Igsf11","IGSF11"
"Tmx1","TMX1"
"B4galt4","B4GALT4"
"Ighv1-52","IGHV1-24"
"Dipk1a","DIPK1A"
"Mvk","MVK"
"Ighv1-26","IGHV1-24"
"Irgq","IRGQ"
"Ighv1-31","IGHV1-24"
"Fgd4","FGD4"
"Hba-a2","HBA2"
"Hba-a2","HBA1"
"Gpatch2","GPATCH2"
"Mecom","MECOM"
"Bud23","BUD23"
"Onecut1","ONECUT1"
"Rgs7","RGS7"
"Ighv8-11","IGHV2-26"
"Nav2","NAV2"
"Sars2","AC011455.2"
"Fam160b1","FAM160B1"
"Slc35b1","SLC35B1"
"Rac3","RAC3"
"Fam107b","FAM107B"
"Golim4","GOLIM4"
"Mlph","MLPH"
"Gas2l3","GAS2L3"
"Prrx1","PRRX1"
"Rps6kb2","RPS6KB2"
"Cks1b","CKS1B"
"Ighv1-62-3","IGHV1-24"
"Pmf1","PMF1"
"Upk1b","UPK1B"
"Dlg1","DLG1"
"Nosip","NOSIP"
"Aktip","AKTIP"
"Ighv8-2","IGHV2-26"
"Slc41a1","SLC41A1"
"Klk1b26","KLK2"
"Zfp750","ZNF750"
"Cemip","CEMIP"
"Spata9","SPATA9"
"Ccdc51","CCDC51"
"Mynn","MYNN"
"Mdfi","MDFI"
"Ighv1-50","IGHV1-24"
"Kcnj2","KCNJ2"
"Ighv1-59","IGHV1-24"
"Epyc","EPYC"
"Atraid","ATRAID"
"F2rl1","F2RL1"
"Cln3","AC138894.1"
"Cln3","CLN3"
"Hbq1b","HBQ1"
"Nr2f2","NR2F2"
"Gm21708","RBMY1J"
"Parp10","PARP10"
"Ighv8-5","IGHV2-26"
"Cldn11","CLDN11"
"Plxnb1","PLXNB1"
"D16Ertd472e","C21orf91"
"Xrcc1","XRCC1"
"Tmem114","TMEM114"
"Fmo1","FMO1"
"Ighv1-80","IGHV1-24"
"Hsd17b6","HSD17B6"
"Mrps12","MRPS12"
"Opcml","OPCML"
"Ccer1","CCER1"
"Lrrc34","LRRC34"
"Klk9","KLK9"
"Klk9","AC011473.4"
"Sel1l3","SEL1L3"
"Sox5","SOX5"
"Spata19","SPATA19"
"Alpl","ALPL"
"Ighv1-74","IGHV1-24"
"Slit1","SLIT1"
"Slc7a10","SLC7A10"
"Spaca3","SPACA3"
"Arsk","ARSK"
"Dynlt3","DYNLT3"
"Snrnp35","SNRNP35"
"Esyt3","ESYT3"
"Bcas2","BCAS2"
"Adamts20","ADAMTS20"
"Bst2","BST2"
"Arnt2","ARNT2"
"Zfp763","ZNF778"
"Myrfl","MYRFL"
"Mad2l1","MAD2L1"
"Pm20d1","PM20D1"
"Igsf1","IGSF1"
"Nucks1","NUCKS1"
"Cdh15","CDH15"
"Tma7","TMA7"
"Prdm5","PRDM5"
"Ptch1","PTCH1"
"Ankrd11","ANKRD11"
"Pus7l","PUS7L"
"S100z","S100Z"
"Bin3","BIN3"
"Gm21677","RBMY1J"
"Mroh9","MROH9"
"Aanat","AANAT"
"Prrg2","PRRG2"
"Iqank1","IQANK1"
"Tango6","TANGO6"
"Lrriq4","LRRIQ4"
"Kantr","KANTR"
"Dhh","DHH"
"Klk1b3","KLK2"
"Ighv1-5","IGHV1-24"
"Slc41a3","SLC41A3"
"Cox6a1","COX6A1"
"Kncn","KNCN"
"Spatc1","SPATC1"
"Ccdc8","CCDC8"
"Cdh16","CDH16"
"Me3","ME3"
"Gm10256","RBMY1J"
"H2al1b","H2AL1RP"
"Gns","GNS"
"Ighv1-34","IGHV1-24"
"Rpf2","RPF2"
"Crlf2","CRLF2"
"Lrrc45","LRRC45"
"Thegl","THEGL"
"Sgo2a","SGO2"
"Dlg3","DLG3"
"Ctnna2","CTNNA2"
"BC048507","DYNLL1"
"Ighv8-9","IGHV2-26"
"Tmed2","TMED2"
"Myl6b","MYL6B"
"Ighv3-1","IGHV4-28"
"Ighv3-1","IGHV4-31"
"Ighv3-1","IGHV4-34"
"Ighv3-1","IGHV4-39"
"Rnf19a","RNF19A"
"Sbno1","SBNO1"
"Vamp5","VAMP5"
"Klk1b27","KLK2"
"Cdh1","CDH1"
"Mknk1","MKNK1"
"Rgs22","RGS22"
"Ighv1-36","IGHV1-24"
"Klk1b9","KLK2"
"Mapkapk3","MAPKAPK3"
"Olfr1325","OR13H1"
"Gfi1","GFI1"
"Gpr160","GPR160"
"Chmp6","CHMP6"
"Smim20","SMIM20"
"Prcd","PRCD"
"Fmo2","FMO2"
"Man1c1","MAN1C1"
"Mthfd2","MTHFD2"
"Ptpn7","PTPN7"
"Pinlyp","PINLYP"
"Smg5","SMG5"
"Ighv14-1","IGHV1-24"
"Ighv1-37","IGHV1-24"
"2810006K23Rik","C12orf65"
"Fbxo27","FBXO27"
"Mvb12a","MVB12A"
"Sirt4","SIRT4"
"Cdh3","CDH3"
"Btg1c","BTG1"
"Mob3c","MOB3C"
"Fam229a","FAM229A"
"Grina","GRINA"
"Ighv1-63","IGHV1-24"
"Lum","LUM"
"Rilpl1","RILPL1"
"Fam117a","FAM117A"
"Ighv1-4","IGHV1-24"
"Srsf1","SRSF1"
"Srsf1","AC015813.2"
"Grem2","GREM2"
"Rwdd2a","RWDD2A"
"H2al2c","H2AL1RP"
"Ighv1-22","IGHV1-24"
"Olfr462","OR4D2"
"Sla2","SLA2"
"Ighv3-8","IGHV4-28"
"Ighv3-8","IGHV4-31"
"Ighv3-8","IGHV4-34"
"Ighv3-8","IGHV4-39"
"Asb11","ASB11"
"Ighv1-72","IGHV1-24"
"Eml2","EML2"
"Evi5","EVI5"
"Klk1b11","KLK2"
"Tmem241","TMEM241"
"Tgfbrap1","TGFBRAP1"
"Rab5if","RAB5IF"
"Cdk2ap1","CDK2AP1"
"Paics","PAICS"
"Vezf1","VEZF1"
"Klk1b21","KLK2"
"Nat9","NAT9"
"Atxn1l","ATXN1L"
"Lrp3","LRP3"
"Aarsd1","AARSD1"
"Aarsd1","PTGES3L-AARSD1"
"Fam192a","PSME3IP1"
"Ighv1-20","IGHV1-24"
"Sp100","SP140"
"Ist1","IST1"
"Slk","SLK"
"Pla2g1b","PLA2G1B"
"H2al1d","H2AL1RP"
"H2al2b","H2AL1RP"
"Kin","KIN"
"Dcn","DCN"
"Sh2b1","SH2B1"
"Bbs5","BBS5"
"Polr2k","POLR2K"
"Aunip","AUNIP"
"Ighv1-85","IGHV1-24"
"Nkrf","NKRF"
"Rab7b","RAB7B"
"Fn1","FN1"
"AC133103.4","SP110"
"Asb9","ASB9"
"Ighv3-6","IGHV4-28"
"Ighv3-6","IGHV4-31"
"Ighv3-6","IGHV4-34"
"Ighv3-6","IGHV4-39"
"Epx","EPX"
"Gm3376","RBMY1J"
"Mov10","MOV10"
"Cish","CISH"
"Ighv1-78","IGHV1-24"
"Tro","TRO"
"Vps52","VPS52"
"Pcid2","PCID2"
"Cxcr4","CXCR4"
"Nupr1l","NUPR2"
"Ighv1-39","IGHV1-24"
"Sgo2b","SGO2"
"Vamp8","VAMP8"
"Ckap5","CKAP5"
"Atmin","ATMIN"
"Pkd1l3","PKD1L3"
"Dmbx1","DMBX1"
"Klk1b24","KLK2"
"Cdk5rap2","CDK5RAP2"
"Ighv1-54","IGHV1-24"
"Prim1","AC117378.1"
"Prim1","PRIM1"
"Rgs14","RGS14"
"Gsdma2","GSDMA"
"Slc7a14","SLC7A14"
"Kctd18","KCTD18"
"H2al1e","H2AL1RP"
